month,product,category,quantity,price,total,region,salesperson,returned
Jun,keyboard,Accessories,6,680.94,4085.64,South,Rahul,0
May,Charger,Accessories,10,727.24,7272.4,West,Aisha,0
Apr,Phone,Electronics,4,659.61,2638.44,East,Rahul,0
Jan,Charger,Accessories,8,867.38,6939.04,West,Sofia,0
Mar,Charger,Accessories,6,964.71,5788.26,North,Nikita,0
Apr,mouse,Accessories,1,749.35,749.35,North,Aisha,0
Jun,monitor,Electronics,4,510.28,2041.12,East,Liam,0
May,Charger,Accessories,10,945.57,9455.7,East,Liam,0
Feb,Phone,Electronics,6,749.56,4497.36,East,Rahul,1
Mar,keyboard,Accessories,4,962.78,3851.12,East,Rahul,0
Jan,Charger,Accessories,1,749.65,749.65,East,Sofia,0
Apr,keyboard,Accessories,4,711.81,2847.24,West,Rahul,0
Jun,Phone,Electronics,8,791.39,6331.12,North,Sofia,1
Jun,keyboard,Accessories,5,656.92,3284.6,East,Liam,0
May,monitor,Electronics,5,988.61,4943.05,South,Liam,0
Jan,keyboard,Accessories,3,947.31,2841.93,West,Rahul,0
May,Phone,Electronics,3,873.57,2620.71,South,Aisha,0
Mar,monitor,Electronics,4,626.0,2504.0,West,Rahul,0
Apr,Headphones,Audio,3,728.46,2185.38,South,Aisha,1
Apr,mouse,Accessories,5,902.34,4511.7,North,Rahul,0
Apr,keyboard,Accessories,7,673.51,4714.57,East,Aisha,0
Apr,Phone,Electronics,8,891.93,7135.44,North,Aisha,1
Jan,mouse,Accessories,5,790.61,3953.05,West,Sofia,0
Apr,Phone,Electronics,5,521.73,2608.65,East,Nikita,0
Jun,mouse,Accessories,4,531.83,2127.32,North,Liam,0
Jun,monitor,Electronics,6,700.8,4204.8,,Liam,0
Feb,laptop,Electronics,8,960.07,7680.56,North,Sofia,0
Feb,Phone,Electronics,3,764.64,2293.92,East,Sofia,0
Apr,Headphones,Audio,6,786.6,4719.6,West,Nikita,1
Jun,monitor,Electronics,4,802.84,3211.36,North,Nikita,0
Mar,Phone,Electronics,6,676.63,4059.78,South,Liam,1
Jan,Phone,Electronics,10,917.75,9177.5,South,Rahul,1
Jun,mouse,Accessories,7,628.98,4402.86,South,Liam,1
Jun,keyboard,Accessories,7,986.33,6904.31,East,Liam,0
May,keyboard,Accessories,5,879.45,4397.25,West,Liam,0
Feb,laptop,Electronics,10,732.18,7321.8,East,Rahul,0
Apr,Headphones,Audio,10,705.2,7052.0,East,Sofia,1
May,monitor,Electronics,8,627.12,5016.96,North,Rahul,1
Feb,mouse,Accessories,10,614.88,6148.8,West,Sofia,0
May,laptop,Electronics,4,846.27,3385.08,North,Liam,0
Apr,keyboard,Accessories,4,637.61,2550.44,West,Sofia,0
Jun,Phone,Electronics,2,766.8,1533.6,South,Liam,0
Jun,keyboard,Accessories,5,730.22,3651.1,South,Liam,0
May,Headphones,Audio,8,834.59,6676.72,West,Rahul,0
Jan,monitor,Electronics,8,578.31,4626.48,West,Nikita,0
Jun,Headphones,Audio,7,722.83,5059.81,North,Sofia,0
May,Headphones,Audio,7,910.03,6370.21,West,Nikita,0
Mar,mouse,Accessories,4,509.7,2038.8,West,Aisha,0
May,monitor,Electronics,6,714.42,4286.52,South,Sofia,0
May,mouse,Accessories,8,911.97,7295.76,South,Aisha,0
Jan,Headphones,Audio,10,953.83,9538.3,East,Liam,0
Feb,Headphones,Audio,8,998.51,7988.08,South,Aisha,0
Jun,monitor,Electronics,4,980.27,3921.08,East,Nikita,1
Jan,Phone,Electronics,2,650.65,1301.3,West,Rahul,0
Jun,Phone,Electronics,3,635.21,1905.63,North,Aisha,0
Jan,keyboard,Accessories,7,857.91,6005.37,East,Aisha,0
Apr,Phone,Electronics,4,628.84,2515.36,East,Aisha,1
Jan,laptop,Electronics,3,965.26,2895.78,East,Aisha,0
Apr,Charger,Accessories,7,666.26,4663.82,North,Rahul,1
Jun,Headphones,Audio,5,881.29,4406.45,South,Sofia,0
May,Charger,Accessories,4,778.22,3112.88,South,Sofia,0
Mar,mouse,Accessories,1,647.18,647.18,North,Sofia,0
Jan,monitor,Electronics,3,600.61,1801.83,West,Sofia,0
Jun,laptop,Electronics,2,745.36,1490.72,North,Rahul,0
Jan,Charger,Accessories,1,519.89,519.89,South,Sofia,0
Mar,Headphones,Audio,10,854.53,8545.3,West,Liam,0
Mar,keyboard,Accessories,5,887.73,4438.65,North,Liam,0
Jun,laptop,Electronics,8,717.95,5743.6,West,Rahul,0
May,keyboard,Accessories,9,839.83,7558.47,South,Liam,1
Jun,keyboard,Accessories,1,708.83,708.83,South,Aisha,1
Feb,keyboard,Accessories,7,871.43,6100.01,South,Rahul,0
Jan,Charger,Accessories,5,862.84,4314.2,West,Rahul,1
Jun,mouse,Accessories,8,919.98,7359.84,South,Nikita,0
May,monitor,Electronics,3,615.23,1845.69,South,Liam,0
Apr,monitor,Electronics,1,832.51,832.51,South,Aisha,0
Jun,keyboard,Accessories,4,914.27,3657.08,North,Nikita,0
May,Phone,Electronics,4,720.52,2882.08,South,Liam,0
Mar,Phone,Electronics,8,818.14,6545.12,South,Rahul,0
Feb,laptop,Electronics,2,837.76,1675.52,West,Rahul,0
Jan,Headphones,Audio,4,943.96,3775.84,North,Sofia,0
Apr,Phone,Electronics,3,629.2,1887.6,South,Rahul,0
May,Charger,Accessories,6,515.67,3094.02,North,Rahul,0
Jun,mouse,Accessories,5,537.35,2686.75,South,Sofia,1
Mar,mouse,Accessories,8,884.0,7072.0,North,Liam,0
Mar,mouse,Accessories,2,910.45,1820.9,South,Sofia,0
